,Constrain,Graph,Prop_Correct,Network
441,4,14,0.3438332,Alexnet
442,4,14,0.33534014,VGG16
443,4,14,0.34808445,Resnet50
444,4,14,0.33896238,Alexnet
445,4,14,0.33289495,VGG16
446,4,14,0.34522712,Resnet50
447,4,14,0.33616504,Alexnet
448,4,14,0.3334365,VGG16
449,4,14,0.3463514,Resnet50
450,4,15,0.33750847,Alexnet
451,4,15,0.32949507,VGG16
452,4,15,0.34214422,Resnet50
453,4,15,0.3441939,Alexnet
454,4,15,0.33708206,VGG16
455,4,15,0.35364637,Resnet50
456,4,15,0.33645064,Alexnet
457,4,15,0.34237912,VGG16
458,4,15,0.35103855,Resnet50
459,4,15,0.34042537,Alexnet
460,4,15,0.33597344,VGG16
461,4,15,0.344514,Resnet50
462,4,15,0.3368676,Alexnet
463,4,15,0.33247942,VGG16
464,4,15,0.34851384,Resnet50
465,4,15,0.3256324,Alexnet
466,4,15,0.3234612,VGG16
467,4,15,0.33923107,Resnet50
468,4,15,0.33214012,Alexnet
469,4,15,0.32975933,VGG16
470,4,15,0.3430214,Resnet50
471,4,15,0.33643782,Alexnet
472,4,15,0.33892876,VGG16
473,4,15,0.35023412,Resnet50
474,4,15,0.34530073,Alexnet
475,4,15,0.34403315,VGG16
476,4,15,0.35265142,Resnet50
477,4,15,0.3523729,Alexnet
478,4,15,0.3527448,VGG16
479,4,15,0.3503436,Resnet50
480,4,16,0.35080588,Alexnet
481,4,16,0.33384848,VGG16
482,4,16,0.34972104,Resnet50
483,4,16,0.34297368,Alexnet
484,4,16,0.33448857,VGG16
485,4,16,0.34413043,Resnet50
486,4,16,0.3500024,Alexnet
487,4,16,0.33473036,VGG16
488,4,16,0.34392756,Resnet50
489,4,16,0.34801906,Alexnet
490,4,16,0.3350447,VGG16
491,4,16,0.3463667,Resnet50
492,4,16,0.3480448,Alexnet
493,4,16,0.33650896,VGG16
494,4,16,0.34688464,Resnet50
495,4,16,0.3531816,Alexnet
496,4,16,0.3354163,VGG16
