,Constrain,Graph,Prop_Correct,Network
271,4,9,0.34247276,VGG16
272,4,9,0.33873546,Resnet50
273,4,9,0.34357247,Alexnet
274,4,9,0.34664863,VGG16
275,4,9,0.34562674,Resnet50
276,4,9,0.33768898,Alexnet
277,4,9,0.34228286,VGG16
278,4,9,0.33914384,Resnet50
279,4,9,0.34137702,Alexnet
280,4,9,0.3463593,VGG16
281,4,9,0.34372196,Resnet50
282,4,9,0.3341628,Alexnet
283,4,9,0.33834267,VGG16
284,4,9,0.3315913,Resnet50
285,4,9,0.338659,Alexnet
286,4,9,0.34289882,VGG16
287,4,9,0.34141237,Resnet50
288,4,9,0.33828402,Alexnet
289,4,9,0.34104562,VGG16
290,4,9,0.33684993,Resnet50
291,4,9,0.33406937,Alexnet
292,4,9,0.3370763,VGG16
293,4,9,0.3328207,Resnet50
294,4,9,0.33993393,Alexnet
295,4,9,0.3432945,VGG16
296,4,9,0.34799764,Resnet50
297,4,9,0.33808053,Alexnet
298,4,9,0.34116146,VGG16
299,4,9,0.33795443,Resnet50
300,4,10,0.34975943,Alexnet
301,4,10,0.3398917,VGG16
302,4,10,0.3471482,Resnet50
303,4,10,0.34700704,Alexnet
304,4,10,0.33833563,VGG16
305,4,10,0.35201293,Resnet50
306,4,10,0.34999043,Alexnet
307,4,10,0.34209114,VGG16
308,4,10,0.35225675,Resnet50
309,4,10,0.34930947,Alexnet
310,4,10,0.34155887,VGG16
311,4,10,0.34538195,Resnet50
312,4,10,0.34705147,Alexnet
313,4,10,0.34132978,VGG16
314,4,10,0.35079208,Resnet50
315,4,10,0.3493403,Alexnet
316,4,10,0.3437723,VGG16
317,4,10,0.35063156,Resnet50
318,4,10,0.34910232,Alexnet
319,4,10,0.34075782,VGG16
320,4,10,0.3461331,Resnet50
321,4,10,0.34631836,Alexnet
322,4,10,0.34074003,VGG16
323,4,10,0.3519493,Resnet50
324,4,10,0.34686598,Alexnet
325,4,10,0.33948675,VGG16
326,4,10,0.34703758,Resnet50
327,4,10,0.34799463,Alexnet
328,4,10,0.3431309,VGG16
329,4,10,0.3491798,Resnet50
330,4,11,0.3499951,Alexnet
331,4,11,0.3394193,VGG16
332,4,11,0.34421822,Resnet50
333,4,11,0.35216144,Alexnet
334,4,11,0.33743474,VGG16
335,4,11,0.3468833,Resnet50
336,4,11,0.35427588,Alexnet
337,4,11,0.34019256,VGG16
338,4,11,0.34524488,Resnet50
339,4,11,0.35022843,Alexnet
340,4,11,0.3406281,VGG16
341,4,11,0.34503272,Resnet50
342,4,11,0.34996372,Alexnet
343,4,11,0.338284,VGG16
344,4,11,0.34576583,Resnet50
345,4,11,0.3554091,Alexnet
346,4,11,0.34027097,VGG16
347,4,11,0.345448,Resnet50
348,4,11,0.3457125,Alexnet
349,4,11,0.3384291,VGG16
350,4,11,0.34308633,Resnet50
351,4,11,0.35346943,Alexnet
352,4,11,0.33704832,VGG16
353,4,11,0.34510124,Resnet50
354,4,11,0.34939182,Alexnet
355,4,11,0.3361905,VGG16
356,4,11,0.34559494,Resnet50
357,4,11,0.35119757,Alexnet
358,4,11,0.34041214,VGG16
359,4,11,0.34415492,Resnet50
360,4,12,0.34083062,Alexnet
361,4,12,0.33341977,VGG16
362,4,12,0.3386779,Resnet50
363,4,12,0.3409532,Alexnet
364,4,12,0.33402708,VGG16
365,4,12,0.34243602,Resnet50
366,4,12,0.33844116,Alexnet
367,4,12,0.3338328,VGG16
368,4,12,0.34063235,Resnet50
369,4,12,0.34079483,Alexnet
370,4,12,0.33338246,VGG16
371,4,12,0.3390108,Resnet50
372,4,12,0.34074166,Alexnet
373,4,12,0.33367556,VGG16
374,4,12,0.34143576,Resnet50
375,4,12,0.3385993,Alexnet
376,4,12,0.33297405,VGG16
377,4,12,0.33911732,Resnet50
378,4,12,0.3404481,Alexnet
379,4,12,0.33286008,VGG16
380,4,12,0.33927724,Resnet50
381,4,12,0.33974817,Alexnet
382,4,12,0.33400887,VGG16
383,4,12,0.34087184,Resnet50
384,4,12,0.34115,Alexnet
385,4,12,0.334501,VGG16
386,4,12,0.34134227,Resnet50
387,4,12,0.3377532,Alexnet
388,4,12,0.3337348,VGG16
389,4,12,0.33768553,Resnet50
390,4,13,0.34437647,Alexnet
391,4,13,0.33871618,VGG16
392,4,13,0.35190994,Resnet50
393,4,13,0.34408134,Alexnet
394,4,13,0.33834076,VGG16
395,4,13,0.34920833,Resnet50
396,4,13,0.34398222,Alexnet
397,4,13,0.33950946,VGG16
398,4,13,0.34769025,Resnet50
399,4,13,0.3464903,Alexnet
400,4,13,0.33911413,VGG16
401,4,13,0.3521285,Resnet50
402,4,13,0.34372845,Alexnet
403,4,13,0.33950755,VGG16
404,4,13,0.35113943,Resnet50
405,4,13,0.34419268,Alexnet
406,4,13,0.339089,VGG16
407,4,13,0.34964946,Resnet50
408,4,13,0.3444482,Alexnet
409,4,13,0.3373269,VGG16
410,4,13,0.35436538,Resnet50
411,4,13,0.34385252,Alexnet
412,4,13,0.34054363,VGG16
413,4,13,0.3481818,Resnet50
414,4,13,0.34449342,Alexnet
415,4,13,0.3383226,VGG16
416,4,13,0.35111272,Resnet50
417,4,13,0.34498504,Alexnet
418,4,13,0.3392132,VGG16
419,4,13,0.34935674,Resnet50
420,4,14,0.34149218,Alexnet
421,4,14,0.33320478,VGG16
422,4,14,0.34505123,Resnet50
423,4,14,0.3390155,Alexnet
424,4,14,0.3352022,VGG16
425,4,14,0.34513623,Resnet50
426,4,14,0.33886164,Alexnet
427,4,14,0.33542937,VGG16
428,4,14,0.34467885,Resnet50
429,4,14,0.33625963,Alexnet
430,4,14,0.33438072,VGG16
431,4,14,0.34147456,Resnet50
432,4,14,0.34083822,Alexnet
433,4,14,0.33317536,VGG16
434,4,14,0.3443886,Resnet50
435,4,14,0.34168038,Alexnet
436,4,14,0.3341106,VGG16
437,4,14,0.34198433,Resnet50
438,4,14,0.3364555,Alexnet
439,4,14,0.3343379,VGG16
440,4,14,0.33857495,Resnet50
441,4,14,0.33999574,Alexnet
442,4,14,0.33409446,VGG16
443,4,14,0.34351858,Resnet50
444,4,14,0.336773,Alexnet
445,4,14,0.33362913,VGG16
446,4,14,0.34057525,Resnet50
447,4,14,0.33809558,Alexnet
448,4,14,0.33454695,VGG16
449,4,14,0.34279126,Resnet50
