	FileName	Category	Stim_Set	Object
184	face16sfm_Cycle2.avi	Face	DQInva_Video_260508	35
185	face17sfm_Cycle2.avi	Face	DQInva_Video_260508	36
186	face18sfm_Cycle2.avi	Face	DQInva_Video_260508	37
187	face19sfm_Cycle2.avi	Face	DQInva_Video_260508	38
188	face20sfm_Cycle2.avi	Face	DQInva_Video_260508	39
189	chair1sfm_Cycle2.avi	Chair	DQInva_Video_260508	40
190	chair2sfm_Cycle2.avi	Chair	DQInva_Video_260508	41
191	chair3sfm_Cycle2.avi	Chair	DQInva_Video_260508	42
192	chair4sfm_Cycle2.avi	Chair	DQInva_Video_260508	43
193	chair5sfm_Cycle2.avi	Chair	DQInva_Video_260508	44
194	chair7sfm_Cycle2.avi	Chair	DQInva_Video_260508	45
195	chair8sfm_Cycle2.avi	Chair	DQInva_Video_260508	46
196	chair9sfm_Cycle2.avi	Chair	DQInva_Video_260508	47
197	chair10sfm_Cycle2.avi	Chair	DQInva_Video_260508	48
198	chair11sfm_Cycle2.avi	Chair	DQInva_Video_260508	49
199	chair12sfm_Cycle2.avi	Chair	DQInva_Video_260508	50
200	chair13sfm_Cycle2.avi	Chair	DQInva_Video_260508	51
201	chair14sfm_Cycle2.avi	Chair	DQInva_Video_260508	52
202	chair15sfm_Cycle2.avi	Chair	DQInva_Video_260508	53
203	chair16sfm_Cycle2.avi	Chair	DQInva_Video_260508	54
204	chair17sfm_Cycle2.avi	Chair	DQInva_Video_260508	55
205	chair18sfm_Cycle2.avi	Chair	DQInva_Video_260508	56
206	chair19sfm_Cycle2.avi	Chair	DQInva_Video_260508	57
207	chair20sfm_Cycle2.avi	Chair	DQInva_Video_260508	58
208	tool1sfm_Cycle2.avi	Tool	DQInva_Video_260508	59
209	tool2sfm_Cycle2.avi	Tool	DQInva_Video_260508	60
210	tool3sfm_Cycle2.avi	Tool	DQInva_Video_260508	61
211	tool4sfm_Cycle2.avi	Tool	DQInva_Video_260508	62
212	tool5sfm_Cycle2.avi	Tool	DQInva_Video_260508	63
213	tool6sfm_Cycle2.avi	Tool	DQInva_Video_260508	64
214	tool7sfm_Cycle2.avi	Tool	DQInva_Video_260508	65
215	tool8sfm_Cycle2.avi	Tool	DQInva_Video_260508	66
216	tool9sfm_Cycle2.avi	Tool	DQInva_Video_260508	67
217	tool10sfm_Cycle2.avi	Tool	DQInva_Video_260508	68
218	tool11sfm_Cycle2.avi	Tool	DQInva_Video_260508	69
219	tool12sfm_Cycle2.avi	Tool	DQInva_Video_260508	70
220	tool13sfm_Cycle2.avi	Tool	DQInva_Video_260508	71
221	tool14sfm_Cycle2.avi	Tool	DQInva_Video_260508	72
222	tool15sfm_Cycle2.avi	Tool	DQInva_Video_260508	73
223	tool16sfm_Cycle2.avi	Tool	DQInva_Video_260508	74
224	tool17sfm_Cycle2.avi	Tool	DQInva_Video_260508	75
225	tool18sfm_Cycle2.avi	Tool	DQInva_Video_260508	76
226	tool19sfm_Cycle2.avi	Tool	DQInva_Video_260508	77
227	tool20sfm_Cycle2.avi	Tool	DQInva_Video_260508	78
228	body1sfm_Cycle3.avi	Body	DQInva_Video_260508	1
229	body2sfm_Cycle3.avi	Body	DQInva_Video_260508	2
230	body3sfm_Cycle3.avi	Body	DQInva_Video_260508	3
231	body4sfm_Cycle3.avi	Body	DQInva_Video_260508	4
232	body5sfm_Cycle3.avi	Body	DQInva_Video_260508	5
233	body6sfm_Cycle3.avi	Body	DQInva_Video_260508	6
234	body7sfm_Cycle3.avi	Body	DQInva_Video_260508	7
235	body8sfm_Cycle3.avi	Body	DQInva_Video_260508	8
236	body9sfm_Cycle3.avi	Body	DQInva_Video_260508	9
237	body10sfm_Cycle3.avi	Body	DQInva_Video_260508	10
238	body11sfm_Cycle3.avi	Body	DQInva_Video_260508	11
239	body12sfm_Cycle3.avi	Body	DQInva_Video_260508	12
240	body13sfm_Cycle3.avi	Body	DQInva_Video_260508	13
241	body14sfm_Cycle3.avi	Body	DQInva_Video_260508	14
242	body15sfm_Cycle3.avi	Body	DQInva_Video_260508	15
243	body16sfm_Cycle3.avi	Body	DQInva_Video_260508	16
244	body17sfm_Cycle3.avi	Body	DQInva_Video_260508	17
245	body18sfm_Cycle3.avi	Body	DQInva_Video_260508	18
246	body20sfm_Cycle3.avi	Body	DQInva_Video_260508	19
247	face1sfm_Cycle3.avi	Face	DQInva_Video_260508	20
248	face2sfm_Cycle3.avi	Face	DQInva_Video_260508	21
249	face3sfm_Cycle3.avi	Face	DQInva_Video_260508	22
250	face4sfm_Cycle3.avi	Face	DQInva_Video_260508	23
251	face5sfm_Cycle3.avi	Face	DQInva_Video_260508	24
252	face6sfm_Cycle3.avi	Face	DQInva_Video_260508	25
253	face7sfm_Cycle3.avi	Face	DQInva_Video_260508	26
254	face8sfm_Cycle3.avi	Face	DQInva_Video_260508	27
255	face9sfm_Cycle3.avi	Face	DQInva_Video_260508	28
256	face10sfm_Cycle3.avi	Face	DQInva_Video_260508	29
257	face11sfm_Cycle3.avi	Face	DQInva_Video_260508	30
258	face12sfm_Cycle3.avi	Face	DQInva_Video_260508	31
259	face13sfm_Cycle3.avi	Face	DQInva_Video_260508	32
260	face14sfm_Cycle3.avi	Face	DQInva_Video_260508	33
261	face15sfm_Cycle3.avi	Face	DQInva_Video_260508	34
262	face16sfm_Cycle3.avi	Face	DQInva_Video_260508	35
263	face17sfm_Cycle3.avi	Face	DQInva_Video_260508	36
264	face18sfm_Cycle3.avi	Face	DQInva_Video_260508	37
265	face19sfm_Cycle3.avi	Face	DQInva_Video_260508	38
266	face20sfm_Cycle3.avi	Face	DQInva_Video_260508	39
